1000/T (K⁻¹),Trap,ln(T²/en)
3.8308305240576153,Trap 1,2.0205034785625178
3.838624237073433,Trap 1,2.106050815191874
3.8457101103718805,Trap 1,2.1846004281152966
3.8532675709001234,Trap 1,2.256659848621581
3.860854793251226,Trap 1,2.3233432332611947
3.867873443180939,Trap 1,2.385668628143538
3.8755183505793904,Trap 1,2.4435949080718484
3.489914148111956,Trap 2,1.675379825669038
3.5085257174935096,Trap 2,1.725366816193197
3.520630897056752,Trap 2,1.7756366823674041
3.5270880361173815,Trap 2,1.826039108105466
3.533069530808366,Trap 2,1.8739435528757455
3.545722086302876,Trap 2,1.91558414867383
3.5584655896377484,Trap 2,1.9549289704756487
3.5645540742853066,Trap 2,1.9959616039624446
3.577305573442083,Trap 2,2.0313793739117108
