,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
Trap 1,3.352779454167505,7.901061321144482,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.4011291748860626,8.277890835055015,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.4378437843784377,8.544098945013383,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.466564980760564,8.75063341632045,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.4868719271941138,8.921242912371506,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.507664246378337,9.063518127217584,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.5323207347227124,9.182964184276596,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.5391966023712618,9.2969641214872,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.549497746068931,9.39649673903758,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
Trap 1,3.5720664404357922,9.479130619462447,0.5377027707828022,0.028226729716056897,3.683802134934753e-16,4.2199435553270947e-16,2021-10-21-15-08-40,07/07/2021,1113,2,True,1,0,,475,200,78,300,5
