,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Sample name,PICTS method,Info
Trap 1,3.6415279851425657,8.547834682648597,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.6543029417138686,8.68028845601929,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.6747142909638777,8.79148079954809,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.688267620698558,8.89315656954557,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.7086485684616526,8.980421592683046,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.7430753106752506,9.05140006240141,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.757138563270213,9.126066256624586,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.777719013259794,9.190996930699331,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.7919005005308657,9.253956729337364,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 1,3.8278977185729595,9.301021292242199,0.33787391501631087,0.02624254508724741,3.2896149531856376e-19,3.7336764040688324e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.306550276096948,8.740830555562969,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.3337778370449396,8.863886885705814,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.350532734704818,8.97619285396481,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.373136342170951,9.071784352406626,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.384209279501844,9.163516111364547,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.4073872154831673,9.239323590378126,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.4246575342465753,9.311378597740708,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.441985337142464,9.377140838793233,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.453873519151729,9.440698698021475,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
Trap 2,3.4721016631366965,9.496132645684018,0.39686454577619557,0.011975345929726388,7.596994953969868e-19,3.584465446628235e-19,2021-10-18-21-19-04,1511,4 gates,"Scan1, polarization=5V, top bottom contacts"
