,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Sample name,PICTS method,Info
Trap 1,3.7138824927579295,8.964032302608679,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.7345483063823433,9.10708487750075,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.755445395823945,9.229492176972968,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.7696019300361887,9.33976815331743,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.7834361166811696,9.437748328646787,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.797660641045116,9.525571209889552,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.8192720467478902,9.601107637570221,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.833914810412913,9.673551081060838,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.8488184127472866,9.739953419028879,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 1,3.8563881068990784,9.805016637719243,0.4934807246593233,0.017448089796003968,2.515403253787997e-16,1.9310897261113431e-16,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.185017676848106,9.27127227139172,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.210479003467317,9.40949833275133,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.236141225203068,9.527142681175242,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.2572228917624835,9.631957050116771,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.278366062354523,9.724323280124606,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.2944587204322326,9.809857959754,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.31619963521804,9.883588440960652,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.332666799973339,9.953778282154925,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.3549166303217364,10.014631968393177,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
Trap 2,3.3718852210270764,10.073534679907016,0.37053181207508473,0.011595046621789366,9.520348252752e-20,4.2071702015987027e-20,2021-10-18-21-20-49,1511,4gates,"Scan2, polarization= -5V, top bottom contacts"
