,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Sample name,PICTS method,Info
Trap 1,3.685141509433962,7.294609733573073,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.692080487354624,7.398670257992697,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.7054878274724867,7.488743952750163,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.7054878274724867,7.57742373331754,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.719131210949122,7.6515208620578905,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.725921234025113,7.723217164729342,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.732736095558044,7.789575584282502,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.739715781600599,7.851304891486045,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.747002398081535,7.908831686707475,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 1,3.753612852370406,7.963188738982689,0.8231603490262138,0.03325359976702947,1.5092053184854487e-09,2.1668976947965556e-09,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.039698461912578,7.679710945654021,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.058103975535168,7.775460275579387,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.067484662576687,7.866657992348648,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.081474177246395,7.946237345236338,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.0909990108803167,8.021512366888404,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.100486776423899,8.090727181901247,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.110032966349443,8.154591936651004,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.1148766508846246,8.216945014067681,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.1196381219778506,8.275309989233245,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
Trap 2,3.124609423822022,8.330007763948023,0.6527492397554399,0.02451279968827373,5.624132450491895e-15,4.9448686395927416e-15,2021-10-18-21-24-17,1512,2 gates,"Scan1, polarization=+5V, top bottom contacts"
