,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Sample name,PICTS method,Info
Trap 1,3.5932446999640675,8.928269688847532,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.619254433586681,9.038994974618818,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.6453776611256927,9.13586273030376,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.6585812022097834,9.228702301192808,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.678634490876987,9.30876765091933,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.69890882189754,9.381195729623593,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.712641544458882,9.450680314939047,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.726337755254136,9.514878583949113,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.7331541419345204,9.577784963774286,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 1,3.747002398081535,9.632867523916454,0.39386200327730414,0.008658229913161225,2.1481489325119798e-18,7.94623643614984e-19,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.25626831650928,9.125217206677396,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.2666928002090683,9.243974874643516,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.277506473075284,9.348616848643369,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.2934821987287157,9.438962298142894,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.326126725428239,9.510233930043242,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.381920254320403,9.560384114423055,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.326126725428239,9.670550611657116,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.342804613070366,9.73211009823182,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.348064818534887,9.795526919714819,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
Trap 2,3.3537914612469395,9.854596872871738,0.42141722449966157,0.09392776165788022,9.543616713390756e-19,3.4510159892379122e-18,2021-10-18-21-25-22,1512,4gates,"scan2, polarization=-5V, top bottom contacts"
