,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan1 +5V,Trap 1(2G)",3.685141509433962,7.294609733573073,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 1(2G)",3.692080487354624,7.398670257992697,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 1(2G)",3.7054878274724867,7.488743952750163,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 1(2G)",3.7122280792931917,7.573789054523947,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 1(2G)",3.719131210949122,7.6515208620578905,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 1(2G)",3.725921234025113,7.723217164729342,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 1(2G)",3.732736095558044,7.789575584282502,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 1(2G)",3.739715781600599,7.851304891486045,0.8708717241365465,0.024507261411522954,1.1862640777570769e-08,1.253016221296199e-08,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.044325377496347,7.6766689349072434,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.058103975535168,7.775460275579387,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.0721022395625326,7.863649595901072,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.081474177246395,7.946237345236338,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.0909990108803167,8.021512366888404,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.0957835428146865,8.09376335319149,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.110032966349443,8.154591936651004,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
"Scan1 +5V,Trap 2(2G)",3.1148766508846246,8.216945014067681,0.6601186952504897,0.022834310872696075,7.409349701391477e-15,6.054046669060428e-15,2021-11-04-19-32-39,13/10/2021,1512,2,False,1,0,5,,,,,3
